,Country,Month,Heat Wave
1,AR,Jan-12,0
2,AR,Feb-12,0
3,AR,Mar-12,0
4,AR,Apr-12,0
5,AR,May-12,0
6,AR,Jun-12,0
7,AR,Jul-12,0
8,AR,Aug-12,0
9,AR,Sep-12,0
10,AR,Oct-12,0
11,AR,Nov-12,0
12,AR,Dec-12,0
229,AR,Jan-13,0
230,AR,Feb-13,0
231,AR,Mar-13,0
232,AR,Apr-13,0
233,AR,May-13,0
234,AR,Jun-13,0
235,AR,Jul-13,0
236,AR,Aug-13,0
237,AR,Sep-13,0
238,AR,Oct-13,0
239,AR,Nov-13,0
240,AR,Dec-13,5
457,AR,Jan-14,5
458,AR,Feb-14,0
459,AR,Mar-14,0
460,AR,Apr-14,0
461,AR,May-14,0
462,AR,Jun-14,0
463,AR,Jul-14,0
464,AR,Aug-14,0
465,AR,Sep-14,0
466,AR,Oct-14,0
467,AR,Nov-14,0
468,AR,Dec-14,0
685,AR,Jan-15,0
686,AR,Feb-15,0
687,AR,Mar-15,0
688,AR,Apr-15,0
689,AR,May-15,0
690,AR,Jun-15,0
691,AR,Jul-15,0
692,AR,Aug-15,0
693,AR,Sep-15,0
694,AR,Oct-15,0
695,AR,Nov-15,0
696,AR,Dec-15,0
913,AR,Jan-16,0
914,AR,Feb-16,0
915,AR,Mar-16,0
916,AR,Apr-16,0
917,AR,May-16,0
918,AR,Jun-16,0
919,AR,Jul-16,0
920,AR,Aug-16,0
921,AR,Sep-16,0
922,AR,Oct-16,0
923,AR,Nov-16,0
924,AR,Dec-16,0
1141,AR,Jan-17,0
1142,AR,Feb-17,0
1143,AR,Mar-17,0
1144,AR,Apr-17,0
1145,AR,May-17,0
1146,AR,Jun-17,0
1147,AR,Jul-17,0
1148,AR,Aug-17,0
1149,AR,Sep-17,0
1150,AR,Oct-17,0
1151,AR,Nov-17,0
1152,AR,Dec-17,0
1369,AR,Jan-18,0
1370,AR,Feb-18,0
1371,AR,Mar-18,0
1372,AR,Apr-18,0
1373,AR,May-18,0
1374,AR,Jun-18,0
1375,AR,Jul-18,0
1376,AR,Aug-18,0
1377,AR,Sep-18,0
1378,AR,Oct-18,0
1379,AR,Nov-18,0
1380,AR,Dec-18,0
1597,AR,Jan-19,0
1598,AR,Feb-19,0
1599,AR,Mar-19,0
1600,AR,Apr-19,0
1601,AR,May-19,0
1602,AR,Jun-19,0
1603,AR,Jul-19,0
1604,AR,Aug-19,0
1605,AR,Sep-19,0
1606,AR,Oct-19,0
1607,AR,Nov-19,0
1608,AR,Dec-19,0
1825,AR,Jan-20,0
1826,AR,Feb-20,0
1827,AR,Mar-20,0
1828,AR,Apr-20,0
1829,AR,May-20,0
1830,AR,Jun-20,0
1831,AR,Jul-20,0
1832,AR,Aug-20,0
1833,AR,Sep-20,0
1834,AR,Oct-20,0
1835,AR,Nov-20,0
1836,AR,Dec-20,0
2053,AR,Jan-21,0
2054,AR,Feb-21,0
2055,AR,Mar-21,0
2056,AR,Apr-21,0
2057,AR,May-21,0
2058,AR,Jun-21,0
2059,AR,Jul-21,0
2060,AR,Aug-21,0
2061,AR,Sep-21,0
2062,AR,Oct-21,0
2063,AR,Nov-21,0
2064,AR,Dec-21,0
2281,AR,Jan-22,18
2282,AR,Feb-22,0
2283,AR,Mar-22,0
2284,AR,Apr-22,0
2285,AR,May-22,0
2286,AR,Jun-22,0
2287,AR,Jul-22,0
2288,AR,Aug-22,0
2289,AR,Sep-22,0
2290,AR,Oct-22,0
2291,AR,Nov-22,0
2292,AR,Dec-22,8
2509,AR,Jan-23,5
2510,AR,Feb-23,0
2511,AR,Mar-23,0
2512,AR,Apr-23,0
2513,AR,May-23,0
2514,AR,Jun-23,0
2515,AR,Jul-23,0
2516,AR,Aug-23,0
2517,AR,Sep-23,0
2518,AR,Oct-23,0
2519,AR,Nov-23,5
2520,AR,Dec-23,1
13,AU,Jan-12,0
14,AU,Feb-12,0
15,AU,Mar-12,0
16,AU,Apr-12,0
17,AU,May-12,0
18,AU,Jun-12,0
19,AU,Jul-12,0
20,AU,Aug-12,0
21,AU,Sep-12,0
22,AU,Oct-12,0
23,AU,Nov-12,0
24,AU,Dec-12,0
241,AU,Jan-13,0
242,AU,Feb-13,0
243,AU,Mar-13,0
244,AU,Apr-13,0
245,AU,May-13,0
246,AU,Jun-13,0
247,AU,Jul-13,0
248,AU,Aug-13,0
249,AU,Sep-13,0
250,AU,Oct-13,0
251,AU,Nov-13,0
252,AU,Dec-13,0
469,AU,Jan-14,0
470,AU,Feb-14,0
471,AU,Mar-14,0
472,AU,Apr-14,0
473,AU,May-14,0
474,AU,Jun-14,0
475,AU,Jul-14,0
476,AU,Aug-14,0
477,AU,Sep-14,0
478,AU,Oct-14,0
479,AU,Nov-14,0
480,AU,Dec-14,0
697,AU,Jan-15,0
698,AU,Feb-15,0
699,AU,Mar-15,0
700,AU,Apr-15,0
701,AU,May-15,0
702,AU,Jun-15,0
703,AU,Jul-15,0
704,AU,Aug-15,0
705,AU,Sep-15,0
706,AU,Oct-15,0
707,AU,Nov-15,0
708,AU,Dec-15,0
925,AU,Jan-16,0
926,AU,Feb-16,0
927,AU,Mar-16,0
928,AU,Apr-16,0
929,AU,May-16,0
930,AU,Jun-16,0
931,AU,Jul-16,0
932,AU,Aug-16,0
933,AU,Sep-16,0
934,AU,Oct-16,0
935,AU,Nov-16,0
936,AU,Dec-16,0
1153,AU,Jan-17,0
1154,AU,Feb-17,0
1155,AU,Mar-17,0
1156,AU,Apr-17,0
1157,AU,May-17,0
1158,AU,Jun-17,0
1159,AU,Jul-17,0
1160,AU,Aug-17,0
1161,AU,Sep-17,0
1162,AU,Oct-17,0
1163,AU,Nov-17,0
1164,AU,Dec-17,0
1381,AU,Jan-18,0
1382,AU,Feb-18,0
1383,AU,Mar-18,0
1384,AU,Apr-18,0
1385,AU,May-18,0
1386,AU,Jun-18,0
1387,AU,Jul-18,0
1388,AU,Aug-18,0
1389,AU,Sep-18,0
1390,AU,Oct-18,0
1391,AU,Nov-18,0
1392,AU,Dec-18,0
1609,AU,Jan-19,0
1610,AU,Feb-19,0
1611,AU,Mar-19,0
1612,AU,Apr-19,0
1613,AU,May-19,0
1614,AU,Jun-19,0
1615,AU,Jul-19,0
1616,AU,Aug-19,0
1617,AU,Sep-19,0
1618,AU,Oct-19,0
1619,AU,Nov-19,0
1620,AU,Dec-19,0
1837,AU,Jan-20,0
1838,AU,Feb-20,0
1839,AU,Mar-20,0
1840,AU,Apr-20,0
1841,AU,May-20,0
1842,AU,Jun-20,0
1843,AU,Jul-20,0
1844,AU,Aug-20,0
1845,AU,Sep-20,0
1846,AU,Oct-20,0
1847,AU,Nov-20,0
1848,AU,Dec-20,0
2065,AU,Jan-21,0
2066,AU,Feb-21,0
2067,AU,Mar-21,0
2068,AU,Apr-21,0
2069,AU,May-21,0
2070,AU,Jun-21,0
2071,AU,Jul-21,0
2072,AU,Aug-21,0
2073,AU,Sep-21,0
2074,AU,Oct-21,0
2075,AU,Nov-21,0
2076,AU,Dec-21,0
2293,AU,Jan-22,0
2294,AU,Feb-22,0
2295,AU,Mar-22,0
2296,AU,Apr-22,0
2297,AU,May-22,0
2298,AU,Jun-22,0
2299,AU,Jul-22,0
2300,AU,Aug-22,0
2301,AU,Sep-22,0
2302,AU,Oct-22,0
2303,AU,Nov-22,0
2304,AU,Dec-22,0
2521,AU,Jan-23,0
2522,AU,Feb-23,0
2523,AU,Mar-23,0
2524,AU,Apr-23,0
2525,AU,May-23,0
2526,AU,Jun-23,0
2527,AU,Jul-23,0
2528,AU,Aug-23,0
2529,AU,Sep-23,0
2530,AU,Oct-23,0
2531,AU,Nov-23,0
2532,AU,Dec-23,0
25,BR,Jan-12,0
26,BR,Feb-12,0
27,BR,Mar-12,0
28,BR,Apr-12,0
29,BR,May-12,0
30,BR,Jun-12,0
31,BR,Jul-12,0
32,BR,Aug-12,4
33,BR,Sep-12,11
34,BR,Oct-12,6
35,BR,Nov-12,0
36,BR,Dec-12,0
253,BR,Jan-13,0
254,BR,Feb-13,0
255,BR,Mar-13,0
256,BR,Apr-13,0
257,BR,May-13,0
258,BR,Jun-13,0
259,BR,Jul-13,0
260,BR,Aug-13,0
261,BR,Sep-13,0
262,BR,Oct-13,0
263,BR,Nov-13,0
264,BR,Dec-13,0
481,BR,Jan-14,0
482,BR,Feb-14,0
483,BR,Mar-14,0
484,BR,Apr-14,0
485,BR,May-14,0
486,BR,Jun-14,0
487,BR,Jul-14,0
488,BR,Aug-14,0
489,BR,Sep-14,0
490,BR,Oct-14,5
491,BR,Nov-14,0
492,BR,Dec-14,0
709,BR,Jan-15,0
710,BR,Feb-15,0
711,BR,Mar-15,0
712,BR,Apr-15,0
713,BR,May-15,0
714,BR,Jun-15,0
715,BR,Jul-15,5
716,BR,Aug-15,10
717,BR,Sep-15,12
718,BR,Oct-15,19
719,BR,Nov-15,6
720,BR,Dec-15,0
937,BR,Jan-16,0
938,BR,Feb-16,4
939,BR,Mar-16,0
940,BR,Apr-16,0
941,BR,May-16,0
942,BR,Jun-16,0
943,BR,Jul-16,10
944,BR,Aug-16,18
945,BR,Sep-16,16
946,BR,Oct-16,12
947,BR,Nov-16,10
948,BR,Dec-16,2
1165,BR,Jan-17,2
1166,BR,Feb-17,0
1167,BR,Mar-17,0
1168,BR,Apr-17,0
1169,BR,May-17,0
1170,BR,Jun-17,0
1171,BR,Jul-17,0
1172,BR,Aug-17,20
1173,BR,Sep-17,32
1174,BR,Oct-17,37
1175,BR,Nov-17,24
1176,BR,Dec-17,10
1393,BR,Jan-18,2
1394,BR,Feb-18,0
1395,BR,Mar-18,0
1396,BR,Apr-18,0
1397,BR,May-18,0
1398,BR,Jun-18,0
1399,BR,Jul-18,3
1400,BR,Aug-18,3
1401,BR,Sep-18,27
1402,BR,Oct-18,12
1403,BR,Nov-18,0
1404,BR,Dec-18,0
1621,BR,Jan-19,9
1622,BR,Feb-19,2
1623,BR,Mar-19,3
1624,BR,Apr-19,0
1625,BR,May-19,0
1626,BR,Jun-19,0
1627,BR,Jul-19,0
1628,BR,Aug-19,0
1629,BR,Sep-19,22
1630,BR,Oct-19,7
1631,BR,Nov-19,4
1632,BR,Dec-19,6
1849,BR,Jan-20,0
1850,BR,Feb-20,1
1851,BR,Mar-20,8
1852,BR,Apr-20,17
1853,BR,May-20,4
1854,BR,Jun-20,0
1855,BR,Jul-20,0
1856,BR,Aug-20,10
1857,BR,Sep-20,46
1858,BR,Oct-20,46
1859,BR,Nov-20,11
1860,BR,Dec-20,9
2077,BR,Jan-21,4
2078,BR,Feb-21,0
2079,BR,Mar-21,0
2080,BR,Apr-21,0
2081,BR,May-21,0
2082,BR,Jun-21,0
2083,BR,Jul-21,0
2084,BR,Aug-21,13
2085,BR,Sep-21,23
2086,BR,Oct-21,11
2087,BR,Nov-21,0
2088,BR,Dec-21,5
2305,BR,Jan-22,3
2306,BR,Feb-22,0
2307,BR,Mar-22,0
2308,BR,Apr-22,0
2309,BR,May-22,0
2310,BR,Jun-22,0
2311,BR,Jul-22,0
2312,BR,Aug-22,0
2313,BR,Sep-22,3
2314,BR,Oct-22,5
2315,BR,Nov-22,0
2316,BR,Dec-22,0
2533,BR,Jan-23,0
2534,BR,Feb-23,0
2535,BR,Mar-23,0
2536,BR,Apr-23,0
2537,BR,May-23,0
2538,BR,Jun-23,0
2539,BR,Jul-23,0
2540,BR,Aug-23,8
2541,BR,Sep-23,19
2542,BR,Oct-23,46
2543,BR,Nov-23,35
2544,BR,Dec-23,2
37,CA,Jan-12,0
38,CA,Feb-12,0
39,CA,Mar-12,0
40,CA,Apr-12,0
41,CA,May-12,0
42,CA,Jun-12,0
43,CA,Jul-12,0
44,CA,Aug-12,0
45,CA,Sep-12,0
46,CA,Oct-12,0
47,CA,Nov-12,0
48,CA,Dec-12,0
265,CA,Jan-13,0
266,CA,Feb-13,0
267,CA,Mar-13,0
268,CA,Apr-13,0
269,CA,May-13,0
270,CA,Jun-13,0
271,CA,Jul-13,0
272,CA,Aug-13,0
273,CA,Sep-13,0
274,CA,Oct-13,0
275,CA,Nov-13,0
276,CA,Dec-13,0
493,CA,Jan-14,0
494,CA,Feb-14,0
495,CA,Mar-14,0
496,CA,Apr-14,0
497,CA,May-14,0
498,CA,Jun-14,0
499,CA,Jul-14,0
500,CA,Aug-14,0
501,CA,Sep-14,0
502,CA,Oct-14,0
503,CA,Nov-14,0
504,CA,Dec-14,0
721,CA,Jan-15,0
722,CA,Feb-15,0
723,CA,Mar-15,0
724,CA,Apr-15,0
725,CA,May-15,0
726,CA,Jun-15,0
727,CA,Jul-15,0
728,CA,Aug-15,0
729,CA,Sep-15,0
730,CA,Oct-15,0
731,CA,Nov-15,0
732,CA,Dec-15,0
949,CA,Jan-16,0
950,CA,Feb-16,0
951,CA,Mar-16,0
952,CA,Apr-16,0
953,CA,May-16,0
954,CA,Jun-16,0
955,CA,Jul-16,0
956,CA,Aug-16,0
957,CA,Sep-16,0
958,CA,Oct-16,0
959,CA,Nov-16,0
960,CA,Dec-16,0
1177,CA,Jan-17,0
1178,CA,Feb-17,0
1179,CA,Mar-17,0
1180,CA,Apr-17,0
1181,CA,May-17,0
1182,CA,Jun-17,0
1183,CA,Jul-17,0
1184,CA,Aug-17,0
1185,CA,Sep-17,0
1186,CA,Oct-17,0
1187,CA,Nov-17,0
1188,CA,Dec-17,0
1405,CA,Jan-18,0
1406,CA,Feb-18,0
1407,CA,Mar-18,0
1408,CA,Apr-18,0
1409,CA,May-18,0
1410,CA,Jun-18,0
1411,CA,Jul-18,0
1412,CA,Aug-18,0
1413,CA,Sep-18,0
1414,CA,Oct-18,0
1415,CA,Nov-18,0
1416,CA,Dec-18,0
1633,CA,Jan-19,0
1634,CA,Feb-19,0
1635,CA,Mar-19,0
1636,CA,Apr-19,0
1637,CA,May-19,0
1638,CA,Jun-19,0
1639,CA,Jul-19,0
1640,CA,Aug-19,0
1641,CA,Sep-19,0
1642,CA,Oct-19,0
1643,CA,Nov-19,0
1644,CA,Dec-19,0
1861,CA,Jan-20,0
1862,CA,Feb-20,0
1863,CA,Mar-20,0
1864,CA,Apr-20,0
1865,CA,May-20,0
1866,CA,Jun-20,0
1867,CA,Jul-20,0
1868,CA,Aug-20,0
1869,CA,Sep-20,0
1870,CA,Oct-20,0
1871,CA,Nov-20,0
1872,CA,Dec-20,0
2089,CA,Jan-21,0
2090,CA,Feb-21,0
2091,CA,Mar-21,0
2092,CA,Apr-21,0
2093,CA,May-21,0
2094,CA,Jun-21,0
2095,CA,Jul-21,0
2096,CA,Aug-21,0
2097,CA,Sep-21,0
2098,CA,Oct-21,0
2099,CA,Nov-21,0
2100,CA,Dec-21,0
2317,CA,Jan-22,0
2318,CA,Feb-22,0
2319,CA,Mar-22,0
2320,CA,Apr-22,0
2321,CA,May-22,0
2322,CA,Jun-22,0
2323,CA,Jul-22,0
2324,CA,Aug-22,0
2325,CA,Sep-22,0
2326,CA,Oct-22,0
2327,CA,Nov-22,0
2328,CA,Dec-22,0
2545,CA,Jan-23,0
2546,CA,Feb-23,0
2547,CA,Mar-23,0
2548,CA,Apr-23,0
2549,CA,May-23,0
2550,CA,Jun-23,0
2551,CA,Jul-23,0
2552,CA,Aug-23,0
2553,CA,Sep-23,0
2554,CA,Oct-23,0
2555,CA,Nov-23,0
2556,CA,Dec-23,0
49,CH,Jan-12,0
50,CH,Feb-12,0
51,CH,Mar-12,0
52,CH,Apr-12,0
53,CH,May-12,0
54,CH,Jun-12,1
55,CH,Jul-12,2
56,CH,Aug-12,0
57,CH,Sep-12,0
58,CH,Oct-12,0
59,CH,Nov-12,0
60,CH,Dec-12,0
277,CH,Jan-13,0
278,CH,Feb-13,0
279,CH,Mar-13,0
280,CH,Apr-13,0
281,CH,May-13,0
282,CH,Jun-13,0
283,CH,Jul-13,1
284,CH,Aug-13,5
285,CH,Sep-13,0
286,CH,Oct-13,0
287,CH,Nov-13,0
288,CH,Dec-13,0
505,CH,Jan-14,0
506,CH,Feb-14,0
507,CH,Mar-14,0
508,CH,Apr-14,0
509,CH,May-14,0
510,CH,Jun-14,0
511,CH,Jul-14,1
512,CH,Aug-14,0
513,CH,Sep-14,0
514,CH,Oct-14,0
515,CH,Nov-14,0
516,CH,Dec-14,0
733,CH,Jan-15,0
734,CH,Feb-15,0
735,CH,Mar-15,0
736,CH,Apr-15,0
737,CH,May-15,0
738,CH,Jun-15,0
739,CH,Jul-15,18
740,CH,Aug-15,0
741,CH,Sep-15,0
742,CH,Oct-15,0
743,CH,Nov-15,0
744,CH,Dec-15,0
961,CH,Jan-16,0
962,CH,Feb-16,0
963,CH,Mar-16,0
964,CH,Apr-16,0
965,CH,May-16,0
966,CH,Jun-16,14
967,CH,Jul-16,17
968,CH,Aug-16,1
969,CH,Sep-16,0
970,CH,Oct-16,0
971,CH,Nov-16,0
972,CH,Dec-16,0
1189,CH,Jan-17,0
1190,CH,Feb-17,0
1191,CH,Mar-17,0
1192,CH,Apr-17,0
1193,CH,May-17,0
1194,CH,Jun-17,14
1195,CH,Jul-17,32
1196,CH,Aug-17,7
1197,CH,Sep-17,0
1198,CH,Oct-17,0
1199,CH,Nov-17,0
1200,CH,Dec-17,0
1417,CH,Jan-18,0
1418,CH,Feb-18,0
1419,CH,Mar-18,0
1420,CH,Apr-18,0
1421,CH,May-18,0
1422,CH,Jun-18,7
1423,CH,Jul-18,12
1424,CH,Aug-18,12
1425,CH,Sep-18,0
1426,CH,Oct-18,0
1427,CH,Nov-18,0
1428,CH,Dec-18,0
1645,CH,Jan-19,0
1646,CH,Feb-19,0
1647,CH,Mar-19,0
1648,CH,Apr-19,0
1649,CH,May-19,2
1650,CH,Jun-19,1
1651,CH,Jul-19,14
1652,CH,Aug-19,15
1653,CH,Sep-19,0
1654,CH,Oct-19,0
1655,CH,Nov-19,0
1656,CH,Dec-19,0
1873,CH,Jan-20,0
1874,CH,Feb-20,0
1875,CH,Mar-20,0
1876,CH,Apr-20,0
1877,CH,May-20,0
1878,CH,Jun-20,1
1879,CH,Jul-20,8
1880,CH,Aug-20,9
1881,CH,Sep-20,0
1882,CH,Oct-20,0
1883,CH,Nov-20,0
1884,CH,Dec-20,0
2101,CH,Jan-21,0
2102,CH,Feb-21,0
2103,CH,Mar-21,0
2104,CH,Apr-21,0
2105,CH,May-21,0
2106,CH,Jun-21,0
2107,CH,Jul-21,18
2108,CH,Aug-21,3
2109,CH,Sep-21,0
2110,CH,Oct-21,0
2111,CH,Nov-21,0
2112,CH,Dec-21,0
2329,CH,Jan-22,0
2330,CH,Feb-22,0
2331,CH,Mar-22,0
2332,CH,Apr-22,0
2333,CH,May-22,4
2334,CH,Jun-22,14
2335,CH,Jul-22,16
2336,CH,Aug-22,101
2337,CH,Sep-22,0
2338,CH,Oct-22,0
2339,CH,Nov-22,0
2340,CH,Dec-22,0
2557,CH,Jan-23,0
2558,CH,Feb-23,0
2559,CH,Mar-23,0
2560,CH,Apr-23,0
2561,CH,May-23,0
2562,CH,Jun-23,10
2563,CH,Jul-23,19
2564,CH,Aug-23,12
2565,CH,Sep-23,0
2566,CH,Oct-23,0
2567,CH,Nov-23,0
2568,CH,Dec-23,0
61,FR,Jan-12,0
62,FR,Feb-12,0
63,FR,Mar-12,0
64,FR,Apr-12,0
65,FR,May-12,0
66,FR,Jun-12,0
67,FR,Jul-12,0
68,FR,Aug-12,0
69,FR,Sep-12,0
70,FR,Oct-12,0
71,FR,Nov-12,0
72,FR,Dec-12,0
289,FR,Jan-13,0
290,FR,Feb-13,0
291,FR,Mar-13,0
292,FR,Apr-13,0
293,FR,May-13,0
294,FR,Jun-13,0
295,FR,Jul-13,0
296,FR,Aug-13,0
297,FR,Sep-13,0
298,FR,Oct-13,0
299,FR,Nov-13,0
300,FR,Dec-13,0
517,FR,Jan-14,0
518,FR,Feb-14,0
519,FR,Mar-14,0
520,FR,Apr-14,0
521,FR,May-14,0
522,FR,Jun-14,0
523,FR,Jul-14,0
524,FR,Aug-14,0
525,FR,Sep-14,0
526,FR,Oct-14,0
527,FR,Nov-14,0
528,FR,Dec-14,0
745,FR,Jan-15,0
746,FR,Feb-15,0
747,FR,Mar-15,0
748,FR,Apr-15,0
749,FR,May-15,0
750,FR,Jun-15,0
751,FR,Jul-15,0
752,FR,Aug-15,0
753,FR,Sep-15,0
754,FR,Oct-15,0
755,FR,Nov-15,0
756,FR,Dec-15,0
973,FR,Jan-16,0
974,FR,Feb-16,0
975,FR,Mar-16,0
976,FR,Apr-16,0
977,FR,May-16,0
978,FR,Jun-16,0
979,FR,Jul-16,0
980,FR,Aug-16,0
981,FR,Sep-16,0
982,FR,Oct-16,0
983,FR,Nov-16,0
984,FR,Dec-16,0
1201,FR,Jan-17,0
1202,FR,Feb-17,0
1203,FR,Mar-17,0
1204,FR,Apr-17,0
1205,FR,May-17,0
1206,FR,Jun-17,0
1207,FR,Jul-17,0
1208,FR,Aug-17,0
1209,FR,Sep-17,0
1210,FR,Oct-17,0
1211,FR,Nov-17,0
1212,FR,Dec-17,0
1429,FR,Jan-18,0
1430,FR,Feb-18,0
1431,FR,Mar-18,0
1432,FR,Apr-18,0
1433,FR,May-18,0
1434,FR,Jun-18,0
1435,FR,Jul-18,0
1436,FR,Aug-18,0
1437,FR,Sep-18,0
1438,FR,Oct-18,0
1439,FR,Nov-18,0
1440,FR,Dec-18,0
1657,FR,Jan-19,0
1658,FR,Feb-19,0
1659,FR,Mar-19,0
1660,FR,Apr-19,0
1661,FR,May-19,0
1662,FR,Jun-19,0
1663,FR,Jul-19,0
1664,FR,Aug-19,0
1665,FR,Sep-19,0
1666,FR,Oct-19,0
1667,FR,Nov-19,0
1668,FR,Dec-19,0
1885,FR,Jan-20,0
1886,FR,Feb-20,0
1887,FR,Mar-20,0
1888,FR,Apr-20,0
1889,FR,May-20,0
1890,FR,Jun-20,0
1891,FR,Jul-20,0
1892,FR,Aug-20,0
1893,FR,Sep-20,0
1894,FR,Oct-20,0
1895,FR,Nov-20,0
1896,FR,Dec-20,0
2113,FR,Jan-21,0
2114,FR,Feb-21,0
2115,FR,Mar-21,0
2116,FR,Apr-21,0
2117,FR,May-21,0
2118,FR,Jun-21,0
2119,FR,Jul-21,0
2120,FR,Aug-21,0
2121,FR,Sep-21,0
2122,FR,Oct-21,0
2123,FR,Nov-21,0
2124,FR,Dec-21,0
2341,FR,Jan-22,0
2342,FR,Feb-22,0
2343,FR,Mar-22,0
2344,FR,Apr-22,0
2345,FR,May-22,0
2346,FR,Jun-22,0
2347,FR,Jul-22,0
2348,FR,Aug-22,0
2349,FR,Sep-22,0
2350,FR,Oct-22,0
2351,FR,Nov-22,0
2352,FR,Dec-22,0
2569,FR,Jan-23,0
2570,FR,Feb-23,0
2571,FR,Mar-23,0
2572,FR,Apr-23,0
2573,FR,May-23,0
2574,FR,Jun-23,0
2575,FR,Jul-23,0
2576,FR,Aug-23,0
2577,FR,Sep-23,0
2578,FR,Oct-23,0
2579,FR,Nov-23,0
2580,FR,Dec-23,0
73,GB,Jan-12,0
74,GB,Feb-12,0
75,GB,Mar-12,0
76,GB,Apr-12,0
77,GB,May-12,0
78,GB,Jun-12,0
79,GB,Jul-12,0
80,GB,Aug-12,0
81,GB,Sep-12,0
82,GB,Oct-12,0
83,GB,Nov-12,0
84,GB,Dec-12,0
301,GB,Jan-13,0
302,GB,Feb-13,0
303,GB,Mar-13,0
304,GB,Apr-13,0
305,GB,May-13,0
306,GB,Jun-13,0
307,GB,Jul-13,0
308,GB,Aug-13,0
309,GB,Sep-13,0
310,GB,Oct-13,0
311,GB,Nov-13,0
312,GB,Dec-13,0
529,GB,Jan-14,0
530,GB,Feb-14,0
531,GB,Mar-14,0
532,GB,Apr-14,0
533,GB,May-14,0
534,GB,Jun-14,0
535,GB,Jul-14,0
536,GB,Aug-14,0
537,GB,Sep-14,0
538,GB,Oct-14,0
539,GB,Nov-14,0
540,GB,Dec-14,0
757,GB,Jan-15,0
758,GB,Feb-15,0
759,GB,Mar-15,0
760,GB,Apr-15,0
761,GB,May-15,0
762,GB,Jun-15,0
763,GB,Jul-15,0
764,GB,Aug-15,0
765,GB,Sep-15,0
766,GB,Oct-15,0
767,GB,Nov-15,0
768,GB,Dec-15,0
985,GB,Jan-16,0
986,GB,Feb-16,0
987,GB,Mar-16,0
988,GB,Apr-16,0
989,GB,May-16,0
990,GB,Jun-16,0
991,GB,Jul-16,0
992,GB,Aug-16,0
993,GB,Sep-16,0
994,GB,Oct-16,0
